Date,"Stephen Curry","NBA Finals"
2016-03-13,40927,1098
2016-03-14,52562,950
2016-03-15,50889,965
2016-03-16,27295,971
2016-03-17,34353,915
2016-03-18,29343,886
2016-03-19,36543,867
2016-03-20,43756,1386
2016-03-21,22896,966
2016-03-22,21440,952
2016-03-23,23808,1056
2016-03-24,36937,1269
2016-03-25,24701,950
2016-03-26,33691,970
2016-03-27,33847,1067
2016-03-28,34943,1103
2016-03-29,25933,965
2016-03-30,30804,1184
2016-03-31,26323,1137
2016-04-01,23490,1073
2016-04-02,35055,1205
2016-04-03,23997,1320
2016-04-04,30284,1475
2016-04-05,30098,1371
2016-04-06,25193,1309
2016-04-07,18731,1333
2016-04-08,31547,1599
2016-04-09,19543,1156
2016-04-10,37966,1407
2016-04-11,62534,2109
2016-04-12,39683,1997
2016-04-13,35302,2850
2016-04-14,191204,5635
2016-04-15,57479,3484
2016-04-16,73944,3239
2016-04-17,61182,3030
2016-04-18,44356,2527
2016-04-19,46492,2521
2016-04-20,30127,1879
2016-04-21,26652,1876
2016-04-22,30463,1938
2016-04-23,25988,1910
2016-04-24,41060,2174
2016-04-25,40456,2443
2016-04-26,27362,2133
2016-04-27,20464,1826
2016-04-28,27334,2113
2016-04-29,19766,1426
2016-04-30,21342,1639
2016-05-01,31512,2409
2016-05-02,25611,2164
2016-05-03,21651,2185
2016-05-04,26392,1720
2016-05-05,17504,1931
2016-05-06,16102,1463
2016-05-07,16629,1818
2016-05-08,29270,2191
2016-05-09,34200,2755
2016-05-10,128636,3201
2016-05-11,118848,2884
2016-05-12,131612,3492
2016-05-13,59239,4468
2016-05-14,44018,2981
2016-05-15,39582,3567
2016-05-16,36099,3878
2016-05-17,71553,5086
2016-05-18,44745,5597
2016-05-19,98548,4035
2016-05-20,45461,5623
2016-05-21,28656,2645
2016-05-22,30512,3188
2016-05-23,39114,3957
2016-05-24,24338,4340
2016-05-25,43264,6911
2016-05-26,25063,6939
2016-05-27,69545,5617
2016-05-28,29953,29510
2016-05-29,117519,12516
2016-05-30,39028,7341
2016-05-31,226060,28879
2016-06-01,62510,12447
2016-06-02,84542,15621
2016-06-03,169359,25800
2016-06-04,50410,5832
2016-06-05,111099,7294
2016-06-06,166363,25269
2016-06-07,61112,9374
2016-06-08,52132,9080
2016-06-09,103024,16583
2016-06-10,44911,5611
2016-06-11,172475,17900
2016-06-12,53962,6871
2016-06-13,44755,6648
2016-06-14,112533,17655
2016-06-15,33407,6382
2016-06-16,34182,7007
2016-06-17,172735,28420
2016-06-18,61017,9139
2016-06-19,65524,13748
2016-06-20,345025,65744
2016-06-21,74338,14066
2016-06-22,47004,7977
2016-06-23,37819,5441
2016-06-24,36439,3878
2016-06-25,23999,2780
2016-06-26,21143,2708
2016-06-27,20319,2289
2016-06-28,16889,1898
2016-06-29,16435,2062
2016-06-30,14633,1750
2016-07-01,14989,1656
2016-07-02,14730,1512
2016-07-03,15192,1470
2016-07-04,34860,3676
2016-07-05,36635,3877
2016-07-06,24987,3045
2016-07-07,22259,2687
2016-07-08,17890,1619
2016-07-09,15616,1416
2016-07-10,14825,1389
2016-07-11,14914,2013
2016-07-12,13071,2014
2016-07-13,12503,1568
2016-07-14,17637,1483
2016-07-15,12022,1268
2016-07-16,10974,1123
2016-07-17,10611,1161
2016-07-18,11972,956
2016-07-19,10223,1043
2016-07-20,9880,967
2016-07-21,9461,945
2016-07-22,11203,860
2016-07-23,10049,1187
2016-07-24,9493,982
2016-07-25,9302,843
2016-07-26,9268,794
2016-07-27,9909,799
2016-07-28,8529,1044
2016-07-29,7727,966
2016-07-30,8052,835
2016-07-31,8723,740
2016-08-01,8240,762
2016-08-02,7667,863
2016-08-03,7377,873
2016-08-04,7428,1011
2016-08-05,7702,786
2016-08-06,9756,770
2016-08-07,8735,708
2016-08-08,9319,731
2016-08-09,8121,744
2016-08-10,9877,674
2016-08-11,8774,674
2016-08-12,7872,609
2016-08-13,7548,707
2016-08-14,7836,698
2016-08-15,7394,684
2016-08-16,6667,665
2016-08-17,7980,691
2016-08-18,7118,849
2016-08-19,8312,729
2016-08-20,7001,623
2016-08-21,12923,883
2016-08-22,9979,698
2016-08-23,12808,704
2016-08-24,11719,736
2016-08-25,9387,795
2016-08-26,10244,771
2016-08-27,8367,745
2016-08-28,8129,922
2016-08-29,6911,978
2016-08-30,7328,814
2016-08-31,7363,765
2016-09-01,6841,785
2016-09-02,6126,722
2016-09-03,5535,739
2016-09-04,6635,676
2016-09-05,6994,682
2016-09-06,6937,751
2016-09-07,8677,732
2016-09-08,9320,815
2016-09-09,8303,804
2016-09-10,7683,869
2016-09-11,6900,820
2016-09-12,6504,881
2016-09-13,10068,818
2016-09-14,10692,769
2016-09-15,8681,705
2016-09-16,8010,636
2016-09-17,6976,656
2016-09-18,7144,763
2016-09-19,8811,697
2016-09-20,8240,707
2016-09-21,7516,662
2016-09-22,7164,738
2016-09-23,6647,705
2016-09-24,6459,835
2016-09-25,6360,707
2016-09-26,6975,695
2016-09-27,7179,658
2016-09-28,7569,702
2016-09-29,7948,748
2016-09-30,7973,617
2016-10-01,6414,624
2016-10-02,7543,604
2016-10-03,6739,710
2016-10-04,9842,555
2016-10-05,10610,702
2016-10-06,7864,671
2016-10-07,6870,766
2016-10-08,6311,534
2016-10-09,7135,544
2016-10-10,7067,500
2016-10-11,7044,644
2016-10-12,7253,645
2016-10-13,9380,556
2016-10-14,8341,685
2016-10-15,7133,789
2016-10-16,7475,706
2016-10-17,7362,632
2016-10-18,7646,799
2016-10-19,7628,998
2016-10-20,9147,866
2016-10-21,7658,811
2016-10-22,10684,767
2016-10-23,8297,911
2016-10-24,8944,854
2016-10-25,11354,1647
2016-10-26,16474,2107
2016-10-27,10087,1288
2016-10-28,8656,1027
2016-10-29,12704,1002
2016-10-30,8440,1057
2016-10-31,8964,1047
2016-11-01,9272,1223
2016-11-02,12560,1780
2016-11-03,10984,2306
2016-11-04,15665,1602
2016-11-05,14868,1169
2016-11-06,11685,932
2016-11-07,9598,844
2016-11-08,23751,1047
2016-11-09,11843,697
2016-11-10,24384,887
2016-11-11,14229,1097
2016-11-12,14054,777
2016-11-13,10807,724
2016-11-14,11303,721
2016-11-15,10938,798
2016-11-16,11037,733
2016-11-17,20562,865
2016-11-18,10718,785
2016-11-19,15926,874
2016-11-20,11490,786
2016-11-21,9842,864
2016-11-22,13434,766
2016-11-23,9345,813
2016-11-24,12126,953
2016-11-25,8185,693
2016-11-26,15207,805
2016-11-27,12408,743
2016-11-28,11938,809
2016-11-29,12191,806
2016-11-30,11735,801
2016-12-01,12342,944
2016-12-02,13436,922
2016-12-03,8954,894
2016-12-04,10192,708
2016-12-05,9133,719
2016-12-06,15358,913
2016-12-07,10196,836
2016-12-08,14523,1079
2016-12-09,10037,1008
2016-12-10,9771,890
2016-12-11,9438,945
2016-12-12,10580,855
2016-12-13,8485,801
2016-12-14,9899,825
2016-12-15,8648,912
2016-12-16,10022,775
2016-12-17,10364,734
2016-12-18,11206,841
2016-12-19,8763,913
2016-12-20,9703,841
2016-12-21,10573,995
2016-12-22,10123,1055
2016-12-23,10310,1186
2016-12-24,10385,1125
2016-12-25,27181,2924
2016-12-26,19251,2000
2016-12-27,12937,1442
2016-12-28,11395,1272
2016-12-29,13274,1385
2016-12-30,13695,1458
2016-12-31,14651,1202
2017-01-01,9847,970
2017-01-02,9846,1050
2017-01-03,12327,1139
2017-01-04,10475,1077
2017-01-05,15726,1447
2017-01-06,11493,1348
2017-01-07,15714,1328
2017-01-08,10187,1131
2017-01-09,11988,1074
2017-01-10,10642,1076
2017-01-11,12294,1160
2017-01-12,10780,1169
2017-01-13,12515,1222
2017-01-14,9371,1122
2017-01-15,9936,1039
2017-01-16,11212,1479
2017-01-17,19870,2602
2017-01-18,12664,1382
2017-01-19,15233,1375
2017-01-20,15000,1125
2017-01-21,14593,1259
2017-01-22,14102,1558
2017-01-23,13495,1385
2017-01-24,12612,1289
2017-01-25,17124,1215
2017-01-26,25572,1410
2017-01-27,15894,1292
2017-01-28,10571,1081
2017-01-29,28323,1190
2017-01-30,18673,1129
2017-01-31,14815,1478
2017-02-01,11058,1236
2017-02-02,28956,1419
2017-02-03,20770,1277
2017-02-04,16638,1303
2017-02-05,14246,1703
2017-02-06,11222,2937
2017-02-07,11329,2032
2017-02-08,12121,1577
2017-02-09,19417,1570
2017-02-10,13704,1523
2017-02-11,11515,1418
2017-02-12,21419,2105
2017-02-13,11149,1463
2017-02-14,11133,1498
2017-02-15,10413,1472
2017-02-16,15013,1635
2017-02-17,12424,1454
2017-02-18,11596,1238
2017-02-19,21169,1507
2017-02-20,27366,1926
2017-02-21,15407,1574
2017-02-22,13179,1371
2017-02-23,13254,1418
2017-02-24,16909,1779
2017-02-25,13723,1541
2017-02-26,16541,1736
2017-02-27,12278,1500
2017-02-28,18916,1507
2017-03-01,14770,1604
2017-03-02,12548,1701
2017-03-03,18899,1400
2017-03-04,12290,1354
2017-03-05,18703,1620
2017-03-06,27161,1390
2017-03-07,15104,1551
2017-03-08,15058,1668
2017-03-09,14571,1488
2017-03-10,10505,1361
2017-03-11,18236,1250
2017-03-12,14675,1398
2017-03-13,13250,1251
2017-03-14,24613,1251
2017-03-15,24822,1252
2017-03-16,14436,1150
2017-03-17,13904,1192
2017-03-18,12778,1116
2017-03-19,14608,1182
2017-03-20,13313,1236
2017-03-21,20495,1420
2017-03-22,19342,1429
2017-03-23,13996,1332
2017-03-24,14357,1235
2017-03-25,16541,1254
2017-03-26,14238,1450
2017-03-27,12144,1501
2017-03-28,10725,2026
2017-03-29,11992,1539
2017-03-30,16469,1856
2017-03-31,11848,1715
2017-04-01,15040,1432
2017-04-02,17249,1565
2017-04-03,15763,1571
2017-04-04,23079,1597
2017-04-05,24917,3369
2017-04-06,18714,2117
2017-04-07,11874,1331
2017-04-08,11501,1402
2017-04-09,12193,1430
2017-04-10,11960,1640
2017-04-11,14412,1862
2017-04-12,13667,1651
2017-04-13,15065,2754
2017-04-14,12998,2109
2017-04-15,14066,3020
2017-04-16,26007,3580
2017-04-17,15514,2961
2017-04-18,13129,2816
2017-04-19,12462,2640
2017-04-20,17980,2556
2017-04-21,12587,3299
2017-04-22,12581,2546
2017-04-23,24998,3653
2017-04-24,12724,3047
2017-04-25,21148,3272
2017-04-26,13205,2812
2017-04-27,11169,2253
2017-04-28,10146,2223
2017-04-29,9262,2136
2017-04-30,13087,2252
2017-05-01,11963,2380
2017-05-02,12262,2918
2017-05-03,19078,3008
2017-05-04,13177,3677
2017-05-05,17217,2786
2017-05-06,11802,3561
2017-05-07,23571,5014
2017-05-08,13624,5561
2017-05-09,21292,5884
2017-05-10,12799,4398
2017-05-11,11764,4369
2017-05-12,13111,5303
2017-05-13,12186,3728
2017-05-14,29652,4446
2017-05-15,19926,3434
2017-05-16,24921,5130
2017-05-17,33732,5619
2017-05-18,20257,7555
2017-05-19,16316,4037
2017-05-20,17069,7424
2017-05-21,28146,8532
2017-05-22,17867,6768
2017-05-23,37031,13413
2017-05-24,19980,9912
2017-05-25,14099,5701
2017-05-26,22159,45327
2017-05-27,15093,15868
2017-05-28,16607,11468
2017-05-29,14503,12087
2017-05-30,15058,10901
2017-05-31,17254,13873
2017-06-01,26160,24063
2017-06-02,109561,42716
2017-06-03,26697,8840
2017-06-04,26394,8512
2017-06-05,163747,29132
2017-06-06,41359,10625
2017-06-07,32986,10553
2017-06-08,131649,30518
2017-06-09,48769,16057
2017-06-10,91795,24559
2017-06-11,30438,7216
2017-06-12,28529,8552
2017-06-13,321218,47513
2017-06-14,71171,21308
2017-06-15,48224,13580
2017-06-16,36102,10482
2017-06-17,25913,9017
2017-06-18,24708,5629
2017-06-19,22704,3941
2017-06-20,20148,3590
2017-06-21,16887,3460
2017-06-22,18201,2620
2017-06-23,23078,2958
2017-06-24,14886,2996
2017-06-25,15596,4613
2017-06-26,14118,2343
2017-06-27,16990,2259
2017-06-28,13727,2461
2017-06-29,12937,1863
2017-06-30,11342,1546
2017-07-01,37437,2620
2017-07-02,25382,2176
2017-07-03,18183,2228
2017-07-04,18269,2076
2017-07-05,15654,1623
2017-07-06,15033,2575
2017-07-07,12884,1525
2017-07-08,12994,1288
2017-07-09,15115,1333
2017-07-10,11129,1177
2017-07-11,10480,1143
2017-07-12,9356,991
2017-07-13,12456,1044
2017-07-14,12107,919
2017-07-15,10755,882
2017-07-16,10705,853
2017-07-17,9270,870
2017-07-18,8395,1050
2017-07-19,7828,943
2017-07-20,8093,1155
2017-07-21,9875,1207
2017-07-22,8569,1226
2017-07-23,7964,1046
2017-07-24,9985,1312
2017-07-25,10332,1316
2017-07-26,9576,1026
2017-07-27,9612,1008
2017-07-28,9074,1080
2017-07-29,8011,1794
2017-07-30,8332,1000
2017-07-31,10380,882
2017-08-01,10248,854
2017-08-02,10202,1180
2017-08-03,9012,973
2017-08-04,12671,918
2017-08-05,13995,950
2017-08-06,13252,767
2017-08-07,11523,985
2017-08-08,10814,1032
2017-08-09,10580,823
2017-08-10,9761,947
2017-08-11,8585,753
2017-08-12,9443,738
2017-08-13,8660,732
2017-08-14,8456,645
2017-08-15,8144,748
2017-08-16,7307,772
2017-08-17,7386,747
2017-08-18,7256,933
2017-08-19,7364,719
2017-08-20,7932,570
2017-08-21,6898,711
2017-08-22,6578,756
2017-08-23,10538,1676
2017-08-24,8548,985
2017-08-25,8369,923
2017-08-26,9085,721
2017-08-27,7078,633
2017-08-28,7197,607
2017-08-29,6331,659
2017-08-30,6223,741
2017-08-31,6451,732
2017-09-01,5976,684
2017-09-02,5838,606
2017-09-03,6596,618
2017-09-04,8431,657
2017-09-05,8399,602
2017-09-06,6570,669
2017-09-07,6523,698
2017-09-08,6822,690
2017-09-09,7668,617
2017-09-10,7167,592
2017-09-11,7962,518
2017-09-12,7840,635
2017-09-13,6557,745
2017-09-14,6832,657
2017-09-15,6933,775
2017-09-16,7133,691
2017-09-17,8570,679
2017-09-18,7939,711
2017-09-19,7818,645
2017-09-20,7684,756
2017-09-21,7626,842
2017-09-22,7670,759
2017-09-23,29378,1047
2017-09-24,32995,870
2017-09-25,16571,882
2017-09-26,11981,1068
2017-09-27,10892,1246
2017-09-28,9543,1099
2017-09-29,9039,832
2017-09-30,8511,713
2017-10-01,8050,728
2017-10-02,6622,648
2017-10-03,7226,697
2017-10-04,7222,842
2017-10-05,8360,799
2017-10-06,6739,723
2017-10-07,6722,630
2017-10-08,8179,630
2017-10-09,7424,650
2017-10-10,7329,657
2017-10-11,7170,705
2017-10-12,7704,787
2017-10-13,11117,871
2017-10-14,8509,647
2017-10-15,7698,648
2017-10-16,7912,907
2017-10-17,9665,1470
2017-10-18,17732,2281
2017-10-19,9769,1106
2017-10-20,10538,1076
2017-10-21,12642,987
2017-10-22,11151,966
2017-10-23,9939,937
2017-10-24,11654,1044
2017-10-25,9161,1092
2017-10-26,11053,1229
2017-10-27,8671,924
2017-10-28,10623,936
2017-10-29,8946,845
2017-10-30,9727,1042
2017-10-31,10259,902
2017-11-01,8453,1110
2017-11-02,9033,1545
2017-11-03,11891,1207
2017-11-04,10251,1163
2017-11-05,10515,1159
2017-11-06,9150,940
2017-11-07,10138,1179
2017-11-08,10069,1194
2017-11-09,12305,1230
2017-11-10,8892,1034
2017-11-11,8326,884
2017-11-12,11906,953
2017-11-13,10173,910
2017-11-14,10451,1026
2017-11-15,9546,957
